word,freq
heaven,34
height,34
length,34
managed,34
manager,34
norwood,34
park,34
party,34
price,34
printed,34
property,34
rucastle,34
spare,34
spite,34
watching,34
wore,34
absence,33
ames,33
bundle,33
bust,33
busy,33
cards,33
careful,33
contained,33
cover,33
despair,33
district,33
dying,33
ear,33
enter,33
ettie,33
exact,33
hanging,33
launch,33
manor,33
mantelpiece,33
mccarthy,33
mountains,33
names,33
original,33
patient,33
personal,33
peter,33
pick,33
realize,33
satisfied,33
shone,33
skin,33
soft,33
stable,33
straker,33
theories,33
tut,33
unable,33
absurd,32
add,32
assured,32
baynes,32
boot,32
brixton,32
cheeks,32
conscious,32
distant,32
dust,32
equally,32
europe,32
extremely,32
eyebrows,32
government,32
guide,32
habit,32
halloa,32
history,32
hum,32
influence,32
joy,32
keeping,32
lined,32
milverton,32
peace,32
produced,32
raise,32
rang,32
repeated,32
respect,32
saved,32
scott,32
smell,32
strike,32
terms,32
vain,32
vermissa,32
acted,31
band,31
bent,31
carruthers,31
chief,31
cloud,31
coffee,31
companion's,31
desk,31
gazed,31
grip,31
handle,31
hurt,31
india,31
lucy,31
moran,31
nearer,31
observation,31
owe,31
owner,31
pen,31
pleasant,31
precious,31
refused,31
reputation,31
safety,31
shape,31
sleeve,31
slept,31
touched,31
vanished,31
villain,31
violent,31
alert,30
barclay,30
bottle,30
breaking,30
changed,30
clever,30
coloured,30
commonplace,30
dancing,30
dry,30
examining,30
fled,30
fly,30
george,30
god's,30
health,30
helped,30
informed,30
intimate,30
landlady,30
leg,30
lens,30
plaster,30
porter,30
profession,30
removed,30
returning,30
starting,30
teeth,30
unexpected,30
active,29
adventures,29
bitter,29
brows,29
bye,29
capital,29
clad,29
completely,29
dashed,29
deadly,29
desperate,29
downstairs,29
emotion,29
final,29
foreign,29
gained,29
gleam,29
golden,29
holder,29
hypothesis,29
initials,29
keenly,29
noble,29
offer,29
painful,29
policeman,29
precisely,29
questioning,29
risk,29
rock,29
ross,29
stream,29
tiger,29
trail,29
weather,29
yonder,29
advanced,28
bearded,28
bought,28
buried,28
carrying,28
check,28
church,28
class,28
collar,28
column,28
companions,28
continue,28
coronet,28
deduction,28
driver,28
farm,28
forgotten,28
garcia,28
goose,28
hansom,28
joined,28
knee,28
lodger,28
lunch,28
mason,28
material,28
mercy,28
obliged,28
one's,28
pencil,28
promised,28
proud,28
recent,28
reference,28
scanlan,28
serve,28
size,28
soames,28
stands,28
stanley,28
struggle,28
torn,28
wet,28
william,28
youth,28
advance,27
animal,27
arrival,27
avoid,27
begun,27
brothers,27
cecil,27
clay,27
clerk,27
closely,27
compelled,27
copy,27
criminals,27
cushing,27
deed,27
deserted,27
discovery,27
event,27
fast,27
fatal,27
fault,27
foul,27
intense,27
mac,27
mention,27
mire,27
moon,27
musgrave,27
offered,27
officer,27
pain,27
poison,27
positive,27
press,27
pull,27
receive,27
recognized,27
reward,27
scream,27
series,27
snow,27
stained,27
successful,27
takes,27
talked,27
twisted,27
utterly,27
wheels,27
wide,27
absorbed,26
admiration,26
agitation,26
altogether,26
armchair,26
attack,26
beast,26
beauty,26
board,26
bullet,26
bureau,26
burning,26
cart,26
choose,26
crossed,26
crowd,26
cunningham,26
daily,26
delighted,26
devoted,26
die,26
dragged,26
duties,26
earnestly,26
estate,26
frances,26
gasped,26
grim,26
haggard,26
haired,26
inclined,26
intended,26
judgment,26
leaves,26
misfortune,26
missed,26
mistress,26
overcoat,26
possibility,26
puzzled,26
quarrel,26
settle,26
shouted,26
signal,26
sky,26
spirits,26
stables,26
staunton,26
suspect,26
sympathy,26
thief,26
tied,26
tragic,26
visible,26
voices,26
absent,25
accident,25
accustomed,25
agents,25
agreed,25
angel,25
armed,25
atmosphere,25
attached,25
calling,25
ceased,25
command,25
curve,25
detectives,25
disturbed,25
eh,25
emerged,25
enemy,25
enormous,25
express,25
fainted,25
fever,25
fired,25
flat,25
footsteps,25
frequently,25
grief,25
hilton,25
impressed,25
indications,25
joke,25
ladies,25
larger,25
laying,25
leads,25
machine,25
melancholy,25
neighbourhood,25
oak,25
opportunity,25
patience,25
permission,25
plan,25
pool,25
remarks,25
respectable,25
row,25
sarah,25
shoes,25
solid,25
sounds,25
spirit,25
stayed,25
stock,25
stout,25
suspected,25
telegraph,25
toby,25
trade,25
trivial,25
tuesday,25
warrant,25
winding,25
woodley,25
addressed,24
