Vehicle_Make,Accident_Involved,Vehicle_Type,Drivers_License_Status
Mazda MPV,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Valid
Toyota Tundra,Motor Vehicle In-Transport,Station Wagon (excluding van and truck based),No Valid
"Honda Civic/CRX, del Sol",Pedalcyclist,"4-door sedan, hardtop",Unknown
Chevrolet S-10/T-10 Pickup,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No Valid
Toyota Solara,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Valid
Ford Ranger,Motor Vehicle In-Transport,Light Pickup,No Valid
Hyundai Elantra,Motor Vehicle In-Transport,Light Pickup,Valid
Harley-Davidson 750cc or greater,Parked Motor Vehicle,"4-door sedan, hardtop",Valid
Toyota Tacoma,Curb,Two Wheel Motorcycle (excluding motor scooters),No Valid
Toyota Tacoma,Utility Pole/Light Support,"4-door sedan, hardtop",Valid
Jaguar XF/XFR,Pedestrian,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",Valid
Toyota Camry,Pedestrian,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Valid
Honda CR-V,Tree (Standing Only),"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Valid
Other Make 0-50cc,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters),Valid
Toyota 4-Runner,Motor Vehicle In-Transport,Light Pickup,Valid
Ford Medium/Heavy,Other Object (not fixed),"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Valid
Honda Accord,Wall,"Convertible(excludes sun-roof,t-bar)",Valid
"Chevrolet C, K, R, V-series pickup/Silverado",Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters),Valid
Nissan/Datsun Frontier,Motor Vehicle In-Transport,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",Unknown
Yamaha 125-349cc,Motor Vehicle In-Transport,5-door/4-door hatchback,Valid
Toyota 4-Runner,Motor Vehicle In-Transport,Light Pickup,Valid
Honda 125-349 cc,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters),Valid
Ford Medium/Heavy ,Utility Pole/Light Support,Two Wheel Motorcycle (excluding motor scooters),No Valid
Yamaha 750cc or greater,Tree (Standing Only),"4-door sedan, hardtop",Valid
Toyota Corolla,Utility Pole/Light Support,Two Wheel Motorcycle (excluding motor scooters),No Valid
Kawasaki 450-749cc,Pedestrian,"2-door sedan,hardtop,coupe",Unknown
Dodge Ram Pickup,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",Two Wheel Motorcycle (excluding motor scooters),No Valid
Toyota Scion xB ,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",Light Pickup,Unknown
Honda 750 cc or greater,Rollover/Overturn,"4-door sedan, hardtop",No Valid
Toyota Tacoma,Fire Hydrant,Two Wheel Motorcycle (excluding motor scooters),Valid
Mazda Mazda2,Pedestrian,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",Unknown
Honda 125-349 cc,Tree (Standing Only),Two Wheel Motorcycle (excluding motor scooters),Valid
Other Make 750cc or greater,Ground,Station Wagon (excluding van and truck based),Valid
Honda Pilot,Other Fixed Object,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Valid
BMW 3-series,Pedalcyclist,Light Pickup,No Valid
Other Make Unknown cc,Tree (Standing Only),"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No Valid
Harley-Davidson 750cc or greater,Motor Vehicle In-Transport,Station Wagon (excluding van and truck based),No Valid
Mercedes-Benz M/ML Class,Motor Vehicle In-Transport,"Convertible(excludes sun-roof,t-bar)",Valid
Honda 450-749 cc,Pedestrian,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",Unknown
Ford Medium/Heavy Van-Based Vehicle,Pedestrian,"4-door sedan, hardtop",No Valid
Nissan/Datsun Frontier,Motor Vehicle In-Transport,Motor Scooter,Valid
Honda Element,Motor Vehicle In-Transport,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",No Valid
Honda Unknown,Pedestrian,Station Wagon (excluding van and truck based),Valid
Volkswagen Jetta/Jetta SportsWagen,Pedestrian,Light Pickup,Valid
Subaru Forester,Utility Pole/Light Support,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Valid
Ford F-Series pickup,Fire/Explosion,Station Wagon (excluding van and truck based),Valid
Nissan/Datsun Altima,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters),Valid
Other Make 0-50cc,Motor Vehicle In-Transport,Transit Bus (City Bus),Valid
BMW 3-series,Motor Vehicle In-Transport,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",Valid
Toyota Tacoma,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters),Not licensed
Dodge Ram Pickup,Motor Vehicle In-Transport,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",Valid
Chevrolet Corvette,Motor Vehicle In-Transport,Light Pickup,Not licensed
BMW 125-349cc,Motor Vehicle In-Transport,"Convertible(excludes sun-roof,t-bar)",Valid
Toyota Corolla,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters),Unknown
Toyota Tundra,Pedalcyclist,Light Pickup,Valid
Mazda 323/GLC,Embankment,Light Pickup,Valid
,Tree (Standing Only),Light Pickup,Valid
,Motor Vehicle In-Transport,Station Wagon (excluding van and truck based),No Valid
,Motor Vehicle In-Transport,Light Pickup,Valid
,Motor Vehicle In-Transport,Light Pickup,Unknown
,Pedestrian,,Valid
