STATENAME,ST_CASE,FATALS,VE_TOTAL,COUNTY,CITY,MONTH,MONTHNAME,DAY,DAY_WEEK,YEAR,HOUR,URBAN-RURAL,LONGITUDE,LATITUDE,HARM_EV,LGT_COND,WEATHER,Vehicle_Make,Accident_Involved,Vehicle_Type
Hawaii,150021,2,6,HONOLULU,NANAKULI,February,26,26,Saturday,2022,22,Urban,21.38775833,-158.1362778,Parked Motor Vehicle,Dark - Lighted,Clear,Ford Mustang/Mustang II,Motor Vehicle In-Transport,Light Pickup
Hawaii,150022,1,1,HAWAII,NINOLE,February,5,5,Saturday,2022,9,Rural,19.9272,-155.1560694,Bridge Pier or Support,Daylight,Cloudy,Unknown Make Unknown cc,Motor Vehicle In-Transport,"2-door sedan,hardtop,coupe"
Hawaii,150023,1,1,HONOLULU,HONOLULU,February,27,27,Sunday,2022,21,Urban,21.29718333,-157.8369389,Pedestrian,Dark - Lighted,Clear,Ford F-Series pickup,Motor Vehicle In-Transport,Light Pickup
Hawaii,150024,1,2,HONOLULU,WAIPAHU,March,2,2,Wednesday,2022,12,Urban,21.38367778,-158.0056556,Motor Vehicle In-Transport,Daylight,Clear,Ford F-Series pickup,Motor Vehicle In-Transport,"2-door sedan,hardtop,coupe"
Hawaii,150025,1,1,HONOLULU,HONOLULU,March,2,2,Wednesday,2022,22,Urban,21.33699167,-157.9114889,Pedestrian,Dark - Lighted,Clear,Dodge Ram Pickup,Motor Vehicle In-Transport,Light Pickup
Hawaii,150026,3,1,HONOLULU,WAIMANALO,March,13,13,Sunday,2022,2,Urban,21.36883056,-157.7367722,Utility Pole/Light Support,Dark - Lighted,Clear,Toyota Matrix,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150027,1,1,HAWAII,HILO,March,8,8,Tuesday,2022,16,Urban,19.68094722,-155.1522,Rollover/Overturn,Daylight,Rain,Ford Ranger,Fell/Jumped from Vehicle,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150028,4,2,HONOLULU,WAIPAHU,March,20,20,Sunday,2022,17,Urban,21.39316111,-158.0003361,Pedalcyclist,Daylight,Clear,Nissan/Datsun Frontier ,Utility Pole/Light Support,Light Pickup
Hawaii,150029,2,1,HAWAII,CAPTAIN COOK,March,25,25,Friday,2022,22,Urban,19.49581667,-155.9186778,Guardrail Face,Dark - Lighted,Clear,Toyota RAV4 ,Motor Vehicle In-Transport,Light Pickup
Hawaii,150030,2,2,MAUI,KIHEI,April,3,3,Sunday,2022,4,Urban,20.79230278,-156.4792694,Parked Motor Vehicle,Dark - Not Lighted,Severe Crosswinds,Other Make Unknown cc,Motor Vehicle In-Transport,"4-door sedan, hardtop"
